Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Junco hyemalis,"(Linnaeus, 1758)",NA,dark-eyed junco,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,Junco,hyemalis,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-02-15,Andrew Simon,iNat:2565000,,10094,BIR
Melospiza georgiana,"(Latham, 1790)",NA,swamp sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,Melospiza,georgiana,NA,,NA,native,S4S5 (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,9096,BIR
Melospiza lincolnii,"(Audubon, 1834)",NA,Lincoln’s sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,Melospiza,lincolnii,NA,,NA,native,"S5B,SNRN (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,9092,BIR
Melospiza melodia,"(Wilson, 1810)",NA,song sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,Melospiza,melodia,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2010-07-27,Cameron Deckert,iNat:18550214,,9100,BIR
Passerculus sandwichensis,"(Gmelin, 1789)",NA,savannah sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,Passerculus,sandwichensis,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-09-16,Michael Hoebel,iNat:4047043,,9981,BIR
Passerella iliaca,"(Merrem, 1786)",NA,fox sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,Passerella,iliaca,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-04-18,Michael Hoebel,iNat:4046924,,9156,BIR
Pipilo maculatus,"Swainson, 1827",NA,spotted towhee,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,Pipilo,maculatus,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2013-07-07,Dan MacNeal,iNat:18609827,,9420,BIR
Spizella passerina,"(Bechstein, 1798)",NA,chipping sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,Spizella,passerina,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-04-23,Lauren Magner,iNat:3040843,,9135,BIR
Zonotrichia albicollis,"(Gmelin, 1789)",NA,white-throated sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,Zonotrichia,albicollis,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2019-10-13,Michael Hoebel,iNat:34332372,,9184,BIR
Zonotrichia atricapilla,"(Gmelin, 1789)",NA,golden-crowned sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,Zonotrichia,atricapilla,NA,,NA,native,S5?B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-06-27,Sarah Tweedale,iNat:4041637,,9185,BIR
Zonotrichia leucophrys,"(Forster, 1772)",NA,white-crowned sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,Zonotrichia,leucophrys,NA,,NA,native,S5 (2011),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-06-19,Peter Taylor,iNat:103172276,,9176,BIR
Zonotrichia querula,"(Nuttall, 1840)",NA,Harris's sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,Zonotrichia,querula,NA,,NA,native,SUM (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2019-12-27,Chad Diakow,iNat:37144595,listed as regularly occurring but “rare for this area” on the southern Vancouver Island checklist,9182,BIR
Passer domesticus,"(Linnaeus, 1758)",NA,house sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passeridae,,,Passer,domesticus,NA,,NA,exotic,unlisted,NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,13858,BIR
Pelecanus erythrorhynchos,"Gmelin, 1789",NA,American white pelican,Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,Pelecanidae,,,Pelecanus,erythrorhynchos,NA,,NA,,,NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-07-10,Michael Hoebel,iNat:102503941,,4334,BIR
Nannopterum auritum,"(Lesson, 1831)",NA,double-crested cormorant,Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,Phalacrocoracidae,,,Nannopterum,auritum,NA,,NA,native,S3S4B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-12-20,Andrew Simon,iNat:2562503,,1454382,BIR
Urile pelagicus,"Pallas, 1811",NA,pelagic cormorant,Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,Phalacrocoracidae,,,Urile,pelagicus,NA,,NA,native,S4 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-12-20,Andrew Simon,iNat:2562745,,1289605,BIR
Urile penicillatus,"(Brandt, 1837)",NA,Brandt's cormorant,Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,Phalacrocoracidae,,,Urile,penicillatus,NA,,NA,native,"S1B,S4N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2012-05-03,Michael Hoebel,iNat:4046927,,1289607,BIR
Bonasa umbellus brunnescens,"(Linnaeus, 1766)",NA,ruffed grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,Phasianidae,,,Bonasa,umbellus,NA,brunnescens,NA,native,S5 (2015),NA,reported,unobserved,1991-04-25,R. Smith,UBC,B015112,NA,,,,,567035,BIR
Dendragapus fuliginosus,"(Ridgway, 1873)",NA,sooty grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,Phasianidae,,,Dendragapus,fuliginosus,NA,,NA,native,S4 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-04-28,Andrew Simon,iNat:6019290,,72797,BIR
Colaptes auratus,"(Linnaeus, 1758)",NA,northern flicker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,,Colaptes,auratus,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-02-12,Lauren Magner & Andrew Simon,iNat:2565721,,18236,BIR
Dryobates pubescens,"(Linnaeus, 1766)",NA,downy woodpecker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,,Dryobates,pubescens,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-03-26,Kristian Sigvardsen,iNat:2926951,,792988,BIR
Dryobates villosus,"(Linnaeus, 1766)",NA,hairy woodpecker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,,Dryobates,villosus,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-04-23,Andrew Simon,iNat:3030496,,792990,BIR
Dryocopus pileatus,"(Linnaeus, 1758)",NA,pileated woodpecker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,,Dryocopus,pileatus,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2010-05-22,Burl Jantzen,iNat:69729558,,17855,BIR
Sphyrapicus nuchalis,"Baird, 1858",NA,red-naped sapsucker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,,Sphyrapicus,nuchalis,NA,,NA,native,S5B (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,18467,BIR
Sphyrapicus ruber,"(Gmelin, 1788)",NA,red-breasted sapsucker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,,Sphyrapicus,ruber,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-06-19,Bridgit Spencer,iNat:2677221,,18464,BIR
Aechmophorus occidentalis,"(Lawrence, 1858)",NA,western grebe,Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,Podicipedidae,,,Aechmophorus,occidentalis,NA,,NA,native,"S1B,S2N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,4235,BIR
Podiceps auritus,"(Linnaeus, 1758)",NA,horned grebe,Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,Podicipedidae,,,Podiceps,auritus,NA,,NA,native,"S4B, SNRN (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-01-04,Michael Hoebel,iNat:4046939,,4209,BIR
Podiceps grisegena,"(Boddaert, 1783)",NA,red-necked grebe,Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,Podicipedidae,,,Podiceps,grisegena,NA,,NA,native,S5?B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2022-09-02,Liam Steele,iNat:135679353,,4224,BIR
Podiceps nigricollis,"Brehm, 1831",NA,eared grebe,Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,Podicipedidae,,,Podiceps,nigricollis,NA,,NA,native,S3B (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,4205,BIR
Podilymbus podiceps,"(Linnaeus, 1758)",NA,pied-billed grebe,Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,Podicipedidae,,,Podilymbus,podiceps,NA,,NA,native,S4 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2020-07-04,blakedanis,iNat:51983215,,4246,BIR
Rallus limicola,"Vieillot, 1819",NA,Virginia rail,Animalia,Chordata,Vertebrata,,Aves,,,Gruiformes,,,Rallidae,,,Rallus,limicola,NA,,NA,native,S4S5 (2015),NA,new 2016,observed,,,,,NA,2016-09-07,Romayne Galager,iNat:4112274,,243,BIR
Corthylio calendula,"(Linnaeus, 1766)",NA,ruby-crowned kinglet,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Regulidae,,,Corthylio,calendula,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-03-26,Kristian Sigvardsen,iNat:2926950,,1289388,BIR
Regulus satrapa,"(Lichtenstein, 1823)",NA,golden-crowned kinglet,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Regulidae,,,Regulus,satrapa,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2009-07-26,Cameron Deckert,iNat:19139375,,117100,BIR
Actitis macularius,"(Linnaeus, 1766)",NA,spotted sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,Actitis,macularius,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-05-19,Andrew Simon,iNat:6425128,,72458,BIR
Arenaria interpres,"(Linnaeus, 1758)",NA,ruddy turnstone,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,Arenaria,interpres,NA,,NA,native,S4M (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,3938,BIR
